GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica-calificada-1-joseortizm,cs.app,Oliver,3,0,0,0,1,0,1,0,1,0
practica-calificada-1-joseortizm,cs.app,App,12,0,0,0,4,0,3,0,3,0
practica-calificada-1-joseortizm,cs.app,Libros,6,15,0,0,2,6,2,2,2,2
practica-calificada-1-joseortizm,cs.app,Prueba1,14,55,2,2,3,12,2,3,0,3
practica-calificada-1-joseortizm,cs.app,Author,15,0,0,0,6,0,3,0,3,0
